Name:Surname:Surname1:Surname2:account:DNI:Delegation:Departament:Enabled:Password:TurnPassDays:email:Computer:Path
MAICA:CAMPOS LLUCH:CAMPOS:LLUCH:MCAMPOSL:12345685-H:general:Enfermeria:$true:12345685-HLLUCH:60:MCAMPOSL@hgeneral.san-gva.es:W10HG-1:OU=departamentos
MIRIAM:JUAN VALENCIA:JUAN:VALENCIA:MJUANV:12345686-I:general:Enfermeria:$true:12345686-IVALENCIA:60:MJUANV@hgeneral.san-gva.es:W10HG-2:OU=departamentos
IGNACIO:CHAVES VARGAS:CHAVES:VARGAS:ICHAVESV:12345687-J:general:Enfermeria:$true:12345687-JVARGAS:60:ICHAVESV@hgeneral.san-gva.es:W10HG-3:OU=departamentos
LAURA:ALBA ARIAS:ALBA:ARIAS:LALBAA:12345688-K:general:Enfermeria:$true:12345688-KARIAS:60:LALBAA@hgeneral.san-gva.es:W10HG-4:OU=departamentos
JORGE:CARVALHO PELLICER:CARVALHO:PELLICER:JCARVALHOP:12345689-L:general:Enfermeria:$true:12345689-LPELLICER:60:JCARVALHOP@hgeneral.san-gva.es:W10HG-5:OU=departamentos
ANTONIO:CAMPOS GALLEGO:CAMPOS:GALLEGO:ACAMPOSG:12345690-M:general:Enfermeria:$true:12345690-MGALLEGO:60:ACAMPOSG@hgeneral.san-gva.es:W10HG-6:OU=departamentos
CLAUDIO:MONCHO AGUILAR:MONCHO:AGUILAR:CMONCHOA:12345691-N:general:Enfermeria:$true:12345691-NAGUILAR:60:CMONCHOA@hgeneral.san-gva.es:W10HG-7:OU=departamentos
PEPE:CHAVES CAMPOS:CHAVES:CAMPOS:PCHAVESC:12345692-O:general:Enfermeria:$true:12345692-OCAMPOS:60:PCHAVESC@hgeneral.san-gva.es:W10HG-8:OU=departamentos
SARA:ALBA MONCHO:ALBA:MONCHO:SALBAM:12345693-P:general:Enfermeria:$true:12345693-PMONCHO:60:SALBAM@hgeneral.san-gva.es:W10HG-9:OU=departamentos
ISABEL:CARVALHO ALABAU:CARVALHO:ALABAU:ICARVALHOA:12345694-Q:general:Informatica:$true:12345694-QALABAU:8:ICARVALHOA@hgeneral.san-gva.es:W10HG-10:OU=departamentos
FRANCISCO:CAMPOS GOMIS:CAMPOS:GOMIS:FCAMPOSG:12345695-R:general:Informatica:$true:12345695-RGOMIS:8:FCAMPOSG@hgeneral.san-gva.es:W10HG-11:OU=departamentos
RICARDO:ILLESCAS CAMPOS:ILLESCAS:CAMPOS:RILLESCASC:12345696-S:general:Informatica:$true:12345696-SCAMPOS:8:RILLESCASC@hgeneral.san-gva.es:W10HG-12:OU=departamentos
MIRIAM:JUAN PUJOL:JUAN:PUJOL:MJUANP:12345697-T:general:Informatica:$true:12345697-TPUJOL:8:MJUANP@hgeneral.san-gva.es:W10HG-13:OU=departamentos
IGNACIO:CHAVES JUAN:CHAVES:JUAN:ICHAVESJ:12345698-U:general:Informatica:$true:12345698-UJUAN:8:ICHAVESJ@hgeneral.san-gva.es:W10HG-14:OU=departamentos
LAURA:ALBA ALABAU:ALBA:ALABAU:LALBAA:12345699-V:general:Informatica:$true:12345699-VALABAU:8:LALBAA@hgeneral.san-gva.es:W10HG-15:OU=departamentos
JORGE:CARVALHO GOMIS:CARVALHO:GOMIS:JCARVALHOG:12345700-W:general:Alergologia:$true:12345700-WGOMIS:60:JCARVALHOG@hgeneral.san-gva.es:W10HG-16:OU=departamentos
ANTONIO:ALABAU VALENCIA:ALABAU:VALENCIA:AALABAUV:12345701-X:general:Alergologia:$true:12345701-XVALENCIA:60:AALABAUV@hgeneral.san-gva.es:W10HG-17:OU=departamentos
CLAUDIO:GOMIS CAMPOS:GOMIS:CAMPOS:CGOMISC:12345702-Y:general:Alergologia:$true:12345702-YCAMPOS:60:CGOMISC@hgeneral.san-gva.es:W10HG-18:OU=departamentos
SUSANA:VALENCIA MONCHO:VALENCIA:MONCHO:SVALENCIAM:12345703-Z:general:Alergologia:$true:12345703-ZMONCHO:60:SVALENCIAM@hgeneral.san-gva.es:W10HG-19:OU=departamentos
PEDRO:CHAVES ALABAU:CHAVES:ALABAU:PCHAVESA:12345704-A:general:Alergologia:$true:12345704-AALABAU:60:PCHAVESA@hgeneral.san-gva.es:W10HG-20:OU=departamentos
PIEDAD:ALBA GOMIS:ALBA:GOMIS:PALBAG:12345705-B:general:Alergologia:$true:12345705-BGOMIS:60:PALBAG@hgeneral.san-gva.es:W10HG-21:OU=departamentos
MANUEL:CARVALHO VALENCIA:CARVALHO:VALENCIA:MCARVALHOV:12345706-C:general:Alergologia:$true:12345706-CVALENCIA:60:MCARVALHOV@hgeneral.san-gva.es:W10HG-22:OU=departamentos
JAVIER:CAMPOS VARGAS:CAMPOS:VARGAS:JCAMPOSV:12345707-D:general:Alergologia:$true:12345707-DVARGAS:60:JCAMPOSV@hgeneral.san-gva.es:W10HG-23:OU=departamentos
EVA:MONCHO CARVALHO:MONCHO:CARVALHO:EMONCHOC:12345708-E:general:Comunicacion_Prensa:$true:12345708-ECARVALHO:60:EMONCHOC@hgeneral.san-gva.es:UDHG-1:OU=departamentos
RODRIGO:CHAVES CAMPOS:CHAVES:CAMPOS:RCHAVESC:12345709-F:general:Comunicacion_Prensa:$true:12345709-FCAMPOS:60:RCHAVESC@hgeneral.san-gva.es:UDHG-2:OU=departamentos
JOHANN:ALBA CHAVES:ALBA:CHAVES:JALBAC:12345710-G:general:Comunicacion_Prensa:$true:12345710-GCHAVES:60:JALBAC@hgeneral.san-gva.es:UDHG-3:OU=departamentos
BENITO:APARICIO ROJALES:APARICIO:ROJALES:BAPARICIOR:12345711-H:general:Comunicacion_Prensa:$true:12345711-HROJALES:60:BAPARICIOR@hgeneral.san-gva.es:UDHG-4:OU=departamentos
JORGE:BUSTOS MUÑOZ:BUSTOS:MUÑOZ:JBUSTOSM:12345712-H:general:Comunicacion_Prensa:$true:12345712-HMUÑOZ:60:JBUSTOSM@hgeneral.san-gva.es:UDHG-5:OU=departamentos
BEATRIZ:CANAVARO PORTA:CANAVARO:PORTA:BCANAVAROP:12345713-H:general:Comunicacion_Prensa:$true:12345713-HPORTA:60:BCANAVAROP@hgeneral.san-gva.es:UDHG-6:OU=departamentos
